Año;Mes;Compra;Venta
1985;Ene;3.26;3.28
1985;Feb;3.26;3.28
1985;Mar;3.31;3.33
1985;Abr;3.21;3.24
1985;May;3.17;3.2
1985;Jun;3.11;3.13
1985;Jul;2.99;3.01
1985;Ago;2.98;2.99
1985;Sep;2.98;2.99
1985;Oct;2.99;3
1985;Nov;3;3.01
1985;Dic;2.95;2.97
1985;Ene;2.92;2.94
1986;Feb;2.82;2.84
1986;Mar;2.8;2.82
1986;Abr;2.81;2.82
1986;May;2.84;2.86
1986;Jun;2.8;2.81
1986;Jul;2.8;2.81
1986;Ago;2.81;2.82
1986;Sep;2.87;2.88
1986;Oct;2.98;2.99
1986;Nov;3.04;3.05
1986;Dic;3.05;3.06
1987;Ene;3.04;3.06
1987;Feb;3.09;3.1
1987;Mar;3.22;3.23
1987;Abr;3.22;3.23
1987;May;3.4;3.42
1987;Jun;3.64;3.66
1987;Jul;3.46;3.47
1987;Ago;3.2;3.22
1987;Sep;3.37;3.4
1987;Oct;3.5;3.53
1987;Nov;4;4.03
1987;Dic;4.74;4.79
1988;Ene;4.93;4.97
1988;Feb;4.96;4.99
1988;Mar;4.96;4.99
1988;Abr;5.05;5.09
1988;May;5.1;5.15
1988;Jun;6.33;6.38
1988;Jul;6.34;6.36
1988;Ago;6.33;6.35
1988;Sep;6.33;6.35
1988;Oct;6.33;6.35
1988;Nov;6.33;6.35
1988;Dic;6.33;6.35
1989;Ene;6.33;6.35
1989;Feb;6.33;6.35
1989;Mar;6.33;6.35
1989;Abr;6.33;6.35
1989;May;6.33;6.35
1989;Jun;6.33;6.35
1989;Jul;6.33;6.35
1989;Ago;6.33;6.35
1989;Sep;6.33;6.35
1989;Oct;6.33;6.35
1989;Nov;6.33;6.35
1989;Dic;6.33;6.35
1990;Ene;6.33;6.35
1990;Feb;6.33;6.35
1990;Mar;6.33;6.35
1990;Abr;7.01;7.23
1990;May;7.3;7.6
1990;Jun;7.3;7.6
1990;Jul;7.3;7.6
1990;Ago;9.55;9.85
1990;Sep;10.2;10.5
1990;Oct;11.07;11.37
1990;Nov;11.2;11.5
1990;Dic;11.2;11.5
1991;Ene;11.319;11.5952
1991;Feb;12.0063;12.3158
1991;Mar;12.67;13
1991;Abr;12.67;13
1991;May;12.67;13
1991;Jun;12.67;13
1991;Jul;12.5;12.5
1991;Ago;12.5;12.5
1991;Sep;12.5;12.5
1991;Oct;12.5;12.5
